ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,fc_lcv,gcv_lcv,current_pry,current_sec1,current_sec2,current_sec3,load,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_fuel,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,20.2,38.01,6402.68,42.12,6730.75,21.5,20.7,21.3,22.0,33.8,33.8,0.908685,41.5,104.23,83.17554,595.5,178.2,115.5,491.1,4000.0,5.308,1044.257813,804.049805,1365.0,16.21,1.42,0.76,80.98,0.64,0.05,8.54,777.6354358750001,-2.67606,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,20.2,38.01,6402.68,42.12,6730.75,21.5,22.0,21.8,19.6,34.26,34.26,0.90639,41.5,105.311213,84.038348,599.2,180.6,150.3,489.6,4000.0,5.314,1041.935059,799.636475,1365.0,16.21,1.42,0.76,80.98,0.64,0.05,8.15,772.967773,-3.100923,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.91,44.66,6403.38,42.89,6844.29,21.5,21.0,20.9,20.9,34.28,33.9372,0.96822,41.5,108.23,83.434507,601.8,170.0,115.8,490.3,3900.0,5.284,1000.85614,788.776245,1365.0,16.21,1.42,0.76,80.98,0.64,0.05,8.15,711.819153,-3.584854,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.91,44.66,6403.38,42.89,6844.29,21.5,16.500000000000004,19.2,17.0,23.050000000000004,22.522500000000008,0.96282,42.2,111.49,85.947641,598.1,180.2,115.7,491.9,3900.0,5.15,1007.525208,798.104736,1365.0,16.21,1.42,0.76,80.98,0.64,0.05,8.15,675.085693,-2.704067,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.91,44.66,6403.38,42.89,6844.29,21.5,18.2,17.5,18.1,23.050000000000004,22.522500000000008,0.96876,41.7,112.56,86.772504,575.3,182.6,113.3,490.5,3900.0,5.206,1028.313477,802.757141,1347.0,16.17,1.31,0.8,81.12,0.61,0.05,8.26,643.659668,-2.921867,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.91,44.66,6403.38,42.89,6844.29,21.5,22.6,21.9,22.2,34.43,34.43,0.971865,40.4,112.82,86.972938,580.6,181.0,113.5,486.7,3800.0,5.213,1018.191956,812.164185,1347.0,16.17,1.31,0.8,81.12,0.61,0.05,8.26,636.855225,-4.092204,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.91,44.66,6403.38,42.89,6844.29,21.5,21.1,21.7,19.2,31.91,31.5909,0.96552,40.6,112.83,86.980647,581.8,185.5,113.8,495.8,3700.0,5.215,1009.645569,793.444275,1347.0,16.17,1.31,0.8,81.12,0.61,0.05,8.26,621.370605,-3.191504,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.49,44.66,6403.38,42.89,6844.29,21.5,19.4,17.3,18.6,31.62,31.62,0.96822,39.3,112.13,85.790663,571.7,181.6,113.4,493.1,3800.0,5.8,968.317505,781.284973,1347.0,16.17,1.31,0.8,81.12,0.61,0.05,8.26,618.917603,-3.715409,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.49,44.66,6403.38,42.89,6844.29,21.5,16.500000000000004,16.637499999999996,16.25,23.050000000000004,22.522500000000008,0.972945,40.6,110.76,84.742476,572.3,180.0,113.8,491.2,3800.0,5.554,978.779175,789.790955,1347.0,16.17,1.31,0.8,81.12,0.61,0.05,8.26,622.69165,-3.238254,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.49,44.66,6403.38,42.89,6844.29,21.5,17.2,18.3,18.7,34.01,32.6496,0.97308,40.9,109.66,83.900866,574.9,180.3,113.8,491.2,3800.0,5.406,971.158569,780.247925,1347.0,16.17,1.31,0.8,81.12,0.61,0.05,8.26,644.132324,-4.801403,0.0
