ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,fc_lcv,gcv_lcv,current_pry,current_sec1,current_sec2,current_sec3,load,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_coal,total_fuel,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2.09,16.8,3.22875,1.86,2.331215,0.504696,23.03,41.57,6712.23,43.75,7065.43,21.97,23.4,21.2,22.7,33.8,33.462,0.88614,39.8,98.35,75.699995,290.6,67.9,79.0,340.8,3500.0,3500.0,5.348,997.636719,818.410278,1309.0,15.55,1.32,1.19,80.57,0.87,0.05,7.47,682.576172,-3.449786,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,23.03,41.57,6712.23,43.75,7065.43,21.97,22.9,21.4,20.6,33.9,33.561,0.87831,39.0,101.24,77.924428,301.0,81.4,80.8,352.2,3300.0,3300.0,5.351,1014.132751,786.414795,1309.0,15.55,1.32,1.19,80.57,0.87,0.05,7.47,653.873535,-3.479343,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,23.03,41.57,6712.23,43.75,7065.43,21.97,21.8,17.0,21.0,32.9,32.9,0.875745,36.8,102.05,78.547885,265.2,65.3,75.9,332.5,3200.0,3200.0,5.343,975.636902,807.233093,1309.0,15.55,1.32,1.19,80.57,0.87,0.05,8.04,665.327271,-4.048217,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,23.32,41.57,6712.23,43.75,7065.43,21.97,24.1,21.1,16.25,23.2,22.522500000000008,0.87588,35.6,102.15,78.32862,269.1,66.2,76.1,330.9,3100.0,3100.0,5.342,993.099609,793.309143,1309.0,15.55,1.32,1.19,80.57,0.87,0.05,8.04,644.60498,-3.340684,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,23.32,41.57,6712.23,43.75,7065.43,21.97,22.5,22.3,21.8,32.0,31.68,0.878445,37.4,101.92,78.152256,265.1,65.8,75.8,332.3,3100.0,3100.0,3.212,994.702759,746.418884,1311.0,15.57,1.35,1.18,80.64,0.87,0.05,8.04,673.569275,-4.577967,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,23.32,41.57,6712.23,43.75,7065.43,21.97,24.9,22.5,20.8,33.2,32.868,0.878715,48.1,100.39,76.979052,429.1,115.5,96.2,426.3,3500.0,3500.0,3.364,975.158569,697.255066,1309.0,15.73,1.35,1.16,80.48,0.87,0.05,8.04,691.222534,-3.911615,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,22.81,41.57,6712.23,43.75,7065.43,21.97,26.099999999999998,23.2,18.2,32.4,31.752,0.878175,46.2,99.1,76.49529,430.0,114.5,96.5,425.9,4100.0,4100.0,3.408,989.473145,721.500854,1309.0,15.73,1.35,1.16,80.48,0.87,0.05,8.15,685.614502,-3.543411,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,22.81,41.57,6712.23,43.75,7065.43,21.97,24.3,23.8,23.0,32.6,32.274,0.878715,44.2,99.96,77.159124,428.9,115.8,96.5,425.7,4100.0,4100.0,3.372,993.016418,749.287476,1309.0,15.73,1.35,1.16,80.48,0.87,0.05,8.15,653.589722,-2.928602,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,22.81,41.57,6712.23,43.75,7065.43,21.97,25.1,21.5,23.2,34.8,34.8,0.87615,47.4,101.79,78.571701,359.7,124.5,88.5,441.6,4000.0,4000.0,3.197,1016.424377,744.285034,1309.0,15.73,1.35,1.16,80.48,0.87,0.05,8.15,645.550476,-5.3877753749999995,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,22.81,41.57,6712.23,43.75,7065.43,21.97,22.0,21.8,21.0,34.6,34.6,0.87426,47.1,101.94,78.687486,418.0,101.0,95.4,402.2,4000.0,4000.0,3.195,1033.62207,780.697388,1309.0,15.73,1.35,1.16,80.48,0.87,0.05,8.15,649.427551,-4.194563,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,24.34,41.57,6712.23,43.75,7065.43,21.97,23.4,23.5,23.3,33.8,33.462,0.882765,46.4,100.47,76.015602,426.4,101.6,95.9,403.9,4000.0,4000.0,3.267,1037.563965,770.591003,1309.0,15.73,1.35,1.16,80.48,0.87,0.05,8.01,648.765503,-3.860432,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,24.34,41.57,6712.23,43.75,7065.43,21.97,21.7,19.2,21.0,35.7,35.7,0.878175,47.8,103.08,77.990328,481.1,121.0,102.3,436.2,4000.0,4000.0,3.211,958.418396,685.418518,1309.0,15.73,1.35,1.16,80.48,0.87,0.05,8.01,639.97345,-4.990383,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,24.34,41.57,6712.23,43.75,7065.43,21.97,22.2,16.700000000000003,21.3,35.5,35.5,0.879255,50.2,98.57,74.578062,478.1,120.8,102.1,436.4,4200.0,4200.0,3.428,947.267273,665.268066,1309.0,15.73,1.35,1.16,80.48,0.87,0.05,8.01,630.243469,-4.092012,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,24.34,41.57,6712.23,43.75,7065.43,21.97,22.5,23.3,23.2,36.1,36.1,0.84834,50.3,101.02,76.431732,514.8,128.4,105.8,452.5,4300.0,4300.0,3.432,966.402283,656.751282,1309.0,15.73,1.35,1.16,80.48,0.87,0.05,8.01,635.815979,-2.13264,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,22.3,41.57,6712.23,43.75,7065.43,21.97,25.3,23.4,16.25,33.8,32.11,0.833085,53.0,100.85,78.36045,535.5,133.4,107.8,459.9,4500.0,4500.0,3.385,1001.275085,742.030212,1309.0,15.73,1.35,1.16,80.48,0.87,0.05,8.01,660.876953,-1.92154,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,22.3,41.57,6712.23,43.75,7065.43,21.97,24.9,23.1,23.1,33.3,32.967,0.826875,53.0,100.83,78.34491,535.2,132.5,108.0,460.2,4500.0,4500.0,3.405,1049.073486,783.21698,1313.0,15.82,1.28,1.04,80.5,0.87,0.05,8.01,649.616699,-3.588468,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,22.3,41.57,6712.23,43.75,7065.43,21.97,24.4,22.9,19.6,34.8,34.452,0.851715,48.6,101.08,78.53916,604.0,156.1,114.1,492.6,4600.0,4600.0,3.364,1018.649048,752.976929,1313.0,15.82,1.28,1.04,80.5,0.87,0.05,8.01,634.115601,-2.947339,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,22.3,41.57,6712.23,43.75,7065.43,21.97,21.3,21.3,19.8,36.0,35.64,0.850095,48.4,100.91,78.40707,605.5,154.9,113.9,492.0,4600.0,4600.0,3.377,1031.801147,801.124756,1313.0,15.82,1.28,1.04,80.5,0.87,0.05,8.01,631.848877,-2.973412,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,19.21,41.57,6712.23,43.75,7065.43,21.97,22.7,16.9,21.8,34.7,34.353,0.86211,47.7,101.64,82.114956,629.3,162.2,116.0,500.5,4400.0,4400.0,3.25,1035.05188,798.365784,1313.0,15.82,1.28,1.04,80.5,0.87,0.05,8.01,635.43811,-3.685776,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,19.21,41.57,6712.23,43.75,7065.43,21.97,22.6,20.9,20.9,36.2,35.838,0.876555,47.6,101.55,82.042245,634.0,162.1,116.2,500.2,4400.0,4400.0,3.251,984.843933,806.605652,1313.0,15.82,1.28,1.04,80.5,0.87,0.05,7.97,624.484802,-3.262143,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,19.21,41.57,6712.23,43.75,7065.43,21.97,22.5,21.4,21.9,36.1,35.739,0.87858,46.5,102.75,83.011725,656.4,175.0,118.3,517.5,4300.0,4300.0,3.299,1034.187378,819.364441,1313.0,15.82,1.28,1.04,80.5,0.87,0.05,7.97,615.710571,-4.206079,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,19.21,41.57,6712.23,43.75,7065.43,21.97,22.6,21.1,21.9,35.0,35.0,0.878715,38.6,101.23,81.783717,573.2,155.4,110.8,494.6,3800.0,3800.0,3.382,991.591736,828.219666,1313.0,15.82,1.28,1.04,80.5,0.87,0.05,7.97,626.655762,-3.240552,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.34,41.57,6712.23,43.75,7065.43,21.97,22.4,20.3,18.3,35.4,35.046,0.903555,35.3,99.14,78.974924,404.8,110.1,93.7,427.3,3200.0,3200.0,3.376,934.462585,828.060974,1313.0,15.82,1.28,1.04,80.5,0.87,0.05,7.97,653.305847,-3.21348,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.34,41.57,6712.23,43.75,7065.43,21.5,22.4,20.6,22.9,34.3,33.957,0.87831,38.5,98.42,78.401372,355.7,20.2,88.2,406.3,3000.0,3000.0,3.395,980.455505,777.526123,1313.0,15.82,1.28,1.04,80.5,0.87,0.065,8.27,677.739807,-2.133954,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.2,41.06,6759.39,42.08,6922.73,20.48,19.1,25.1,18.0,27.7,27.146,0.92718,43.4,106.2,83.6856,686.4,171.0,120.8,514.5,4200.0,4200.0,3.35,1009.919495,800.081055,1305.0,15.9,1.28,0.94,80.53,0.87,0.05,8.07,639.595398,-3.048927,0.16
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.2,41.06,6759.39,42.08,6922.73,21.5,24.7,20.4,22.6,26.5,26.235,0.928665,43.2,105.32,82.99216,700.1,177.8,122.0,520.9,4400.0,4400.0,3.362,1013.589783,799.993042,1305.0,15.9,1.28,0.94,80.53,0.87,0.05,8.07,630.621216,-3.666453,0.16
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.2,41.06,6759.39,42.08,6922.73,21.5,17.8,16.700000000000003,17.5,30.3,29.997,0.928125,40.2,105.82,83.38616,657.8,164.3,118.4,501.5,4200.0,4200.0,3.367,1043.088989,804.626465,1305.0,15.9,1.28,0.94,80.53,0.87,0.05,8.07,622.40863,-3.038125,0.16
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.2,41.06,6759.39,42.08,6922.73,23.924999999999997,24.7,21.8,18.2,30.9,30.282,0.932445,37.4,104.37,82.24356,556.3,137.8,108.8,464.3,4000.0,4000.0,3.581,1014.734619,808.765442,1305.0,15.9,1.28,0.94,80.53,0.87,0.05,8.07,626.37262,-3.736177,0.16
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.07,41.06,6759.39,42.08,6922.73,21.5,25.7,21.0,21.0,31.4,31.086,0.9288,38.1,104.24,82.276632,521.0,130.9,105.9,455.1,3800.0,3800.0,3.612,967.635864,794.386841,1305.0,15.9,1.28,0.94,80.53,0.87,0.05,8.07,639.406372,-3.898304,0.16
